Date,Open,High,Low,Close,Adj Close,Volume
2018-10-25,267.380005,271.809998,266.230011,270.079987,263.521942,138061500
2018-10-26,265.920013,271.000000,262.290009,265.329987,258.887299,201574600
2018-10-29,268.799988,270.250000,259.850006,263.859985,257.452972,160749100
2018-10-30,263.670013,268.119995,263.119995,267.769989,261.268066,157116000
2018-10-31,270.649994,273.230011,270.119995,270.630005,264.058624,128296300
2018-11-01,271.600006,273.730011,270.380005,273.510010,266.868683,99495000
2018-11-02,274.750000,275.230011,269.589996,271.890015,265.288025,122634100
2018-11-05,272.440002,274.010010,271.350006,273.390015,266.751617,65622500
2018-11-06,273.320007,275.299988,273.250000,275.119995,268.439606,60085900
2018-11-07,277.559998,281.100006,277.079987,281.010010,274.186584,102752100
2018-11-08,280.109985,281.220001,279.220001,280.500000,273.688934,65584900
2018-11-09,279.029999,279.239990,276.179993,277.760010,271.015503,98812600
2018-11-12,277.190002,277.459991,271.989990,272.570007,265.951538,99673600
2018-11-13,273.089996,275.329987,271.250000,272.059998,265.453888,98176600
2018-11-14,274.160004,274.609985,268.450012,270.200012,263.639099,125335900
2018-11-15,268.779999,273.540009,267.010010,273.019989,266.390594,135101400
2018-11-16,271.790009,274.750000,271.209991,273.730011,267.083374,126668000
2018-11-19,273.049988,273.380005,268.070007,269.100006,262.565765,103061700
2018-11-20,265.359985,267.000000,263.149994,264.119995,257.706665,136021300
2018-11-21,265.859985,267.149994,265.010010,265.019989,258.584839,75563700
2018-11-23,263.179993,264.820007,263.070007,263.250000,256.857849,42807900
2018-11-26,265.779999,267.750000,265.339996,267.500000,261.004608,79981400
2018-11-27,266.339996,268.399994,265.660004,268.399994,261.882751,75502400
2018-11-28,269.600006,274.579987,268.329987,274.579987,267.912689,127629600
2018-11-29,273.709991,275.549988,272.429993,273.980011,267.327271,82346400
2018-11-30,273.809998,276.279999,273.450012,275.649994,268.956757,98204200
2018-12-03,280.279999,280.399994,277.510010,279.299988,272.518066,103176300
2018-12-04,278.369995,278.850006,269.899994,270.250000,263.687866,177986000
2018-12-06,265.920013,269.970001,262.440002,269.839996,263.287811,204185400
2018-12-07,269.459991,271.220001,262.630005,263.570007,257.170105,161018900
2018-12-10,263.369995,265.160004,258.619995,264.070007,257.657928,151445900
2018-12-11,267.660004,267.869995,262.480011,264.130005,257.716461,121504400
2018-12-12,267.470001,269.000000,265.369995,265.459991,259.014160,97976700
2018-12-13,266.519989,267.489990,264.119995,265.369995,258.926331,96662700
2018-12-14,262.959991,264.029999,259.850006,260.470001,254.145355,116961100
2018-12-17,259.399994,260.649994,253.529999,255.360001,249.159409,165492300
2018-12-18,257.200012,257.950012,253.279999,255.080002,248.886215,134515100
2018-12-19,255.169998,259.399994,249.350006,251.259995,245.158951,214992800
2018-12-20,249.860001,251.619995,244.649994,247.169998,241.168274,252053400
